Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
CFD,CACNA1B,LINC01905,FCAR,,TNFRSF1A,,,MIR1255A,ZNF628
DNAJC12,HOXB9,NOXO1,CDC42EP5,,TPST1,,,LOC101927120,THAP8
ADGRD1,SCARNA21,VRTN,LINC02239,,LRP10,,,SNORD67,CCDC86
C3,THBS4,FOXD3-AS1,CCL3L3,,CHGA,,,OR4K2,CDH4
APOL3,LINC01213,SATB2-AS1,CCL4L2,,IKBIP,,,DEFB106B,TBL3
TMEM200B,PAX7,MUC4,CLRN1,,NUP214,,,WDR38,EVI5L
PLS3,LINC00589,RPP21,C5orf58,,IMPDH1,,,RNU5F-1,EMD
INMT,FLT4,DDAH2,LOC101929124,,GRIP2,,,LINC01728,RUNDC3A
HYAL1,FGFR4,TAP2,SLC22A24,,CASP5,,,LINC01347,PRDX2
PIANP,EEF1A2,C6orf47,NCF4,,PGS1,,,OR10J3,C1orf194
FZD4,NWD2,VSIG4,TIGIT,,WWC3,,,HOXB5,HBQ1
LRRC32,INHBB,CNPY1,TMPPE,,PILRA,,,LOC286059,TRAPPC5
ADGRL3,NLGN4X,OGN,LINC00636,,CR1L,,,TREML3P,TIMM13
DMGDH,GPRC5C,NEUROG2,PABPN1L,,MAPK13,,,C11orf53,TSPAN14
TRIML2,CCDC169-SOHLH2,IFITM1,LOC100507103,,LPAR2,,,LINC01867,SRRM2
PLSCR4,F7,MOG,AFP,,ZNF117,,,OR5AK4P,SLC25A5
ABCA10,CATSPER1,PI16,LINC01583,,ZBTB9,,,KRTAP10-12,ITIH5
SYBU,PRAMEF19,LOC100506384,NXF2B,,PSG6,,,MIR5708,LMF2
FEZ1,MROH7-TTC4,ALOX5,SOST,,CTDP1,,,PCSK5,LMX1B
TGFBR3,PLEKHG7,ATP4A,VNN2,,LIMK2,,,FAM30A,UBL7
DNMBP,MYL10,AFDN-AS1,LOC100506801,,FCGR1CP,,,DBET,WDR54
CACNA1C,LINC01583,SLC7A11-AS1,CCRL2,,TNFAIP6,,,REXO1L1P,EN2
LOC100240735,SLC8A3,SNHG18,SERPINE3,,RSC1A1,,,ESRG,FXYD6
EMX2,TRIM49,WNK4,NKG7,,CBSL,,,IGFN1,ADGRB1
SHC3,GRIK4,ABCC4,SMTNL2,,MIR373,,,VWF,CUEDC2
LXN,MYCL,ZNF28,UPK1B,,STARD10,,,SCGB3A2,SPATA2L
PI16,KHDRBS2,GNL1,NUF2,,LINC00639,,,LRRK1,NDUFAF8
CIDEB,FBLN7,DGCR11,NKILA,,C9orf84,,,LOC105372941,CDIPT
ABCC2,HSD17B14,GTSF1,ARHGAP11A,,C10orf10,,,LINC00593,HPCAL1
LINC02202,PITX3,THEG,TAP1,,DENND5A,,,LOC100996721,TCEB2
NOV,AP1M2,OVOL2,CFAP58,,RICTOR,,,LST1,LHX4
OSTN,PVALB,KLK11,SVOPL,,FBXW7,,,MIR8078,FBXO41
LRRC71,LOC102725121,ALDOB,ECEL1,,SIAH2,,,TMEM125,LYPLA2
RHOD,LINC01411,TTK,LOC101928622,,ST3GAL4,,,PGR,SNX17
CDO1,SOWAHD,SERPINA3,ADCY10,,SNTB2,,,ADGRF5,HRAS
SH2D4A,SNORA79,GNA14-AS1,CCL3L1,,ZNF295-AS1,,,P2RX1,ZNHIT1
THSD7B,OLIG1,LOC100507564,BCL6B,,ZC3H12A,,,MEOX2,PLEKHG4B
WDR46,SPARCL1,LST1,GIPC2,,TREML4,,,POU2AF1,SF3B4
EFEMP1,PRAMEF17,LINC01344,EIF3CL,,DNAJC25-GNG10,,,LOC642643,SELENOH
PEAR1,MIR133B,LINC01678,CRYM,,ICAM3,,,GABRP,TSPAN7
FAIM2,MEGF10,ZNF600,NEUROD6,,SYT2,,,F13A1,BCAP31
DPP4,STC1,HLA-DRA,PPEF1,,MOG,,,MECOM,SLX1A
CCL13,PRAMEF25,ULK4P3,NELL2,,TLR9,,,KRT5,RASA4B
SEMA5A,ATP1A3,TRIM26,ENC1,,CPED1,,,GOLGA3,TMEM203
MGST1,TRHDE,CYP2S1,THY1,,OSBP2,,,FAM230B,ULK1
FAM129A,CFHR3,COMP,PTPRO,,STK40,,,MGC39584,ATOX1
SBSN,SYPL2,BTBD16,SV2B,,LINC01168,,,GNRHR2,EEFSEC
LINC00842,TSGA10IP,KIF19,CHGB,,ARHGAP9,,,TFEC,COMTD1
NLGN1,MIRLET7A2,GRIP1,SLC6A7,,AVIL,,,MC2R,FN3K
BSCL2,TRIM9,ADAMTS14,EGR1,,ERGIC1,,,HHLA1,BSG
LAMC1,SCARNA11,SEL1L2,C11orf87,,SLED1,,,CROCC2,SPOUT1
COL3A1,MSTN,HHLA2,DHCR24,,NPFFR2,,,SPATA3,ARL6IP4
CYP1B1,LTF,LOC401472,RTN1,,CAMKK1,,,PKP1,URM1
FAM20A,LOC107985579,GPR171,LRTM2,,CFAP45,,,LPAL2,TMEM240
SNX25,PIK3R6,VDR,SYT4,,FKBP8,,,FAM153A,TMEM158
TNFRSF8,LCE3D,TBX18,SATB2-AS1,,LOC399715,,,SIGLEC17P,ERGIC3
LACC1,CH25H,FBN3,AMIGO2,,FAM65B,,,LOC727924,NELFB
CADPS2,C2CD4C,NPIPA1,ARL4D,,HLA-DRB1,,,NHLH2,PFDN2
PROCR,PDPN,CREB5,MYADM,,DYRK3,,,CYP1B1-AS1,C6orf226
CTHRC1,USP17L7,LAIR1,GOT1,,LOC100128770,,,BLK,DBNDD1
PRG4,FAM66B,CYP21A2,SLC30A3,,PREX1,,,ADGRG5,AP2A1
PENK,ESPN,TMEM92-AS1,ITFG1,,PPP1R18,,,EPS8L3,FAM219A
GRIN2D,GALNTL6,OOSP1,NWD2,,RNF152,,,LOC284798,EPB41L1
NPY4R,MIRLET7F1,MIR4480,ATL1,,RPGRIP1,,,MUC5AC,PCDHB10
JAK3,NTSR1,OR7E12P,NR4A1,,LOC101927851,,,KIAA1755,ACKR1
OAF,C6orf15,MYADML,FAM131A,,KCNE1,,,LINC01043,PDLIM4
RAB3IL1,PRAMEF2,TMEM132D-AS1,MAP2K4,,BCL3,,,FOXI2,RGAG4
PDGFRB,LOC101927345,INTS9-AS1,GDA,,VSIG8,,,RBPJL,MLST8
IL1R1,BLK,MYBPH,SLC8A2,,LRRC25,,,ROS1,CORO1A
RAB27B,USP17L2,HLA-DPB2,SEMA4F,,P4HA2,,,C10orf128,PLCH2
LINC01133,LILRA6,LINC01498,NOV,,PHLDA2,,,KLK3,SNU13
PAMR1,LOC642515,LBX2-AS1,FRMPD2,,EGR3,,,SCN4A,MSRB2
KCNA1,GJD2,SPG20-AS1,ACOT7,,MTHFS,,,TSIX,DVL1
CYBA,C19orf33,OTUB2,CLSTN3,,LOC105373191,,,PEG3,ASNA1
AGTR1,MIR133A2,TNFRSF17,DUSP6,,CXCR1,,,CCDC178,TUBG1
LAMA4,ZFP57,MIR648,PRKCG,,TMEM91,,,LINC01193,PYCR2
FBLN2,F2,OR6V1,C3orf80,,LETM2,,,PSG5,GAPDH
RECK,MIR6746,ASB11,PRMT8,,HIST2H2AB,,,CABP5,NAPRT
CD109,RBP7,LINC00243,RAG1,,IL27,,,ATOH1,UBC
EBF1,TUBA4B,STK19,SYP,,CEP63,,,FYB,CDK5R2
GSTM5,LOC101927482,COL2A1,ATP1A1,,MAP1LC3B,,,ENPEP,MICA
ADCY4,MAFA-AS1,URGCP-MRPS24,PCDH8,,HIST2H2BE,,,FAM159A,SZRD1
CLDN11,HNRNPCL1,LOC101927793,PDP1,,G6PC,,,ADRA2B,ALDH2
KCNK1,CYP26B1,MGAM,UCHL1,,FOSB,,,LOC100133286,ARHGAP33
LINC00865,LILRB3,SULT1E1,OLFM3,,C3orf62,,,PIWIL1,LRRN2
SCN3A,PLA2G3,LINC00648,NPTN,,B4GALT5,,,LINC00548,SLC25A4
GALNT12,EMID1,EN2,TMEM200A,,N4BP1,,,LINC01606,VPS28
MMP23B,LOC389602,DDX11-AS1,EGR4,,MIR5194,,,JAML,DCHS1
LINC00857,GAL3ST3,C17orf50,MCHR1,,DOC2B,,,LOC105378049,NDUFB11
SLC1A5,C10orf35,FAM46B,ATP6V1E1,,ALOX5AP,,,ADCY4,TMEM14C
ADGRL2,ZNF534,ZFP57,SCN3B,,MIR4257,,,MUC13,COMT
ACKR3,MIR6071,LRRC8E,SVOP,,PLEKHM1,,,FCRL4,METRNL
RIPOR3,LOC729458,ZPLD1,SLC1A1,,IRF2BPL,,,NLRP2,SCAMP3
DPYSL2,SNORD43,C9orf152,CX3CL1,,TRIM9,,,FCN1,MRPL4
CYP1B1-AS1,GLP2R,ADAMTS12,TMEM59L,,LOC105369758,,,LOC105370792,PCNX3
FMOD,CYTL1,C9orf43,RTN4RL1,,LOC105371730,,,KCNQ1,SF3A2
DEPTOR,LOC340512,MYZAP,CA10,,MYADM,,,LOC101928622,ABHD8
DCN,MYF5,CYP39A1,CIDEA,,DDAH2,,,TGM6,NCLN
LOC102546299,CCL15,LOC101927780,NCALD,,IFITM3,,,LOC105379391,TSEN34
HEG1,DPPA3,DMRTA2,NPTX1,,LOC100128905,,,LINC01146,PET100
LINC01197,SNORA12,TREH,TMEM246,,FAS,,,KRT9,PHLDA3
IRAK3,EGFL8,PRSS50,PAK1,,S100A11,,,ITGAM,FAM96B
FLI1,SORCS1,WDR87,SLC6A15,,CCNL1,,,APOB,SPACA9
MOXD1,RXFP4,IL2RA,LDB2,,CLDN9,,,MUC6,MMP23B
PPARG,SSTR5,SLAMF8,SYNPO2,,LOC100507391,,,CTAGE4,RING1
PTX3,LCE5A,LINC02393,SLC7A4,,HIST2H2AC,,,DMRTC2,RAVER1
LINC02381,PRAMEF14,TNFRSF13B,CREG2,,ITGB4,,,PLA2G4F,TTC9B
APOL1,DGCR9,CPXM1,DYNC1I1,,LOC102723373,,,LOC100996335,EMP3
DOK4,LINC02393,C1QTNF3-AMACR,EPHA4,,MRGPRE,,,DYSF,BRK1
SERPINE2,LINC01692,ADGRF3,LINGO1,,MFSD6L,,,LOC100996624,BNIP3
GPR158,KCNJ4,GPI,PI4KA,,LOC105371416,,,CD69,PKIG
S1PR3,RSPO4,STAB2,SH3GL2,,SH3GLB1,,,ANTXRL,KXD1
CACNA2D4,LCN8,RARRES1,C1orf216,,NFKBIZ,,,ZNF366,MPND
MEOX2,RPTN,DNAH10,NUAK1,,DUSP5,,,ENTHD1,GPR37
PRKG2,CTSH,LINC00323,CDH8,,TNFSF10,,,VIPR1,CACNG8
LBX2-AS1,DIP2A-IT1,APOC4,MAP2K1,,ATG16L2,,,PDX1,SCARB1
MAPK13,GAGE1,SASH3,RAB3A,,FBRS,,,LOC374890,DALRD3
AGMO,LINC01191,SHBG,MRAP2,,SPR,,,SLC2A9,NECTIN2
BRD2,OR2K2,LCTL,VGF,,LOC105369486,,,KCNJ15,GPS1
ANGPT2,CDH22,ADAMTS16,STXBP1,,HEPACAM2,,,PRR20C,COX4I1
ADAM33,RFPL4AL1,DES,APBA2,,TNFRSF9,,,DOK2,CYTB
PCSK5,TPRX1,MIR219A2,BTBD10,,XKR3,,,IL1RN,TMEM86B
LINC01140,CHODL,PCSK5,ATP6V1B2,,LYVE1,,,LINC01133,ACD
TMEM130,SERF1A,ALDH6A1,SLC27A4,,PKN2-AS1,,,USP17L25,SMIM11B
RELN,CALN1,NWD1,EFNB3,,OPLAH,,,USP17L26,PPP1R1B
IFITM1,MBD3L2,DTNA,HMP19,,MSL1,,,USP17L24,SYT3
KRT23,ATP2B2,BAG3,KCNJ3,,PNRC1,,,CLCNKA,PDRG1
EBF2,PAX8,S100A9,ANXA6,,PDE1C,,,MUC16,NDUFA4
PLAGL1,NPTX2,IL4R,MAL2,,MIR3181,,,FAM3D,RAI2
NFATC4,OTOG,MSI2,NIT2,,RAF1,,,LOC101928460,TAF10
S100A10,HSD17B3,RNR2,RTN4RL2,,DHRS9,,,LOC400558,PMVK
CEMIP,RASGRF1,CP,LINC01007,,LINC01531,,,KLK4,PTDSS2
ADAMTS12,KRBOX1,ZIC2,YWHAH,,RAB33B,,,LOC729461,CNPY1
ABCA9-AS1,BARX1,STON2,PCSK2,,GAREM1,,,TMIGD3,MAPRE3
PLEKHG4,LY6G5C,RHOBTB3,DCLK1,,HIST2H3C,,,DCAF4L2,SLC22A18
PAPSS2,KRTAP16-1,MYBPC1,SLIT1,,HIST2H3A,,,IL24,IFI27L1
NHSL2,OLIG2,S100A12,RETREG2,,PADI4,,,KCNT1,FGD1
PRRX2,LINC01266,IFITM3,PTPRR,,FLJ45079,,,ANKRD30BL,PRCC
LOC102724849,CCHCR1,SOCS3,ELMOD1,,ST20,,,FLJ26245,LMNA
MGP,POU5F1,HIPK2,RTN3,,SERTAD1,,,PRR20E,CRMP1
TSLP,TMPRSS15,MT2A,PTER,,LOC101927795,,,PRR20D,ICAM5
STAB1,SPIC,MRVI1,CMAS,,HLA-G,,,PRR20B,DDT
FMO2,GPR27,MLC1,PCMT1,,MXI1,,,PRR20A,KIFC2
C6orf132,HES7,KIF1C,CDK5R2,,PLEKHG6,,,LINC01121,YWHAE
NGF,DOCK9-AS1,COL9A1,GABRG2,,CPEB1,,,LOC101927735,TPRN
PLD1,C1QL2,LOC339874,ATP6V0C,,CFLAR-AS1,,,LOC101926933,COMMD7
EMP1,LINC00704,HFM1,YWHAZ,,KATNBL1,,,MROH5,ROMO1
BHMT2,ITIH4-AS1,REST,HPRT1,,MX2,,,DQX1,NDUFAB1
TRABD2B,PASD1,ALDH4A1,DUSP4,,TMEM253,,,MAGEC1,WNT7B
SLC6A9,CYP4F12,ANKRD18A,TIMM17A,,RAB42,,,USP17L9P,MOSPD3
TRH,WFDC13,TUBB2B,MDH1,,TG,,,LOC284344,ARHGAP23
STAT4,WDR46,FAM107A,KCNV1,,ADGRE1,,,MROH7,KCTD13
SULF2,KDM4E,FIGN,PART1,,LOC101929095,,,GOLGA8EP,CAMK1
RGS5,CRYBB1,HIF3A,RYR2,,HCG27,,,LINC01097,MCRIP1
BST2,MIR4489,CEP152,MOAP1,,TAF13,,,CWH43,TBC1D3
KRT18,FAM124B,MCC,ATF3,,HEPH,,,SLCO2B1,IGSF8
TRABD2A,PRSS42,CHI3L1,CCK,,ANKRD34B,,,RNASE13,COX8A
WNT2,LINC00906,HEPH,GNG3,,MIR5684,,,MYH13,RAD54B
EMILIN2,DUOXA1,SBNO2,CCDC184,,SLC45A2,,,LAD1,SLC32A1
KCND2,LINC00521,MELTF-AS1,TUBB3,,MIR33B,,,UGT2B15,ITM2B
CPT1C,TRIM49B,RAB31,TUBB2A,,LOC100507670,,,TPTE,LRP1
CA12,SLC5A10,MT1X,PCSK1,,PDLIM4,,,LINC00929,LINGO1
LINC01117,UGT2B28,IL17RB,GPRASP2,,LINC-PINT,,,HSPA6,FMC1
TEK,TRIM60,BCL6,YWHAG,,CORO7-PAM16,,,LILRB5,DNAJC25-GNG10
SAMD3,HSFY1,ND4L,FBXO34,,TMEM252,,,LOC101929207,SERF1A
NCOA7,CPLX3,GPR4,NGEF,,TSPAN2,,,ASB5,MTSS1L
CYB561,LOC102723330,ERBB2,L1CAM,,MYBPH,,,DNAJB8,ATP5O
MEG3,GOLGA8G,ALDH7A1,NEUROG2,,GCNT7,,,FAM197Y2P,TMEM151A
ALDH1L2,FOXI1,TNFRSF6B,ATP6V0D1,,PMAIP1,,,C6orf222,MYDGF
TWIST2,COL23A1,GNG12,DIRAS2,,ANGPT1,,,OPALIN,RLN2
COL12A1,ABHD16A,PAIP2B,MFSD4A,,MTRNR2L3,,,TCERG1L,POTEE
TPBG,IVL,ITPKB,CA4,,SLC26A8,,,SPATA31A3,COASY
FAM102A,PGA5,TMEM176A,DTD1,,CDC25C,,,TDRD5,GAA
CXCL5,ZSCAN5B,ARMC8,GRM2,,KRT13,,,DUOXA2,NDUFA2
PLAG1,CSF3,PRR26,PPP3CB,,ACHE,,,LINC01029,WBP1
KCNJ8,SCARNA16,GCNT3,MLIP,,BTG2,,,LINC01613,CADM3
TRPC4,SAPCD1,MAPKAPK2,B4GAT1,,DLEU2,,,HLA-L,FJX1
C17orf107,SNORD116-13,S100A8,ARHGEF3,,RUNDC3B,,,GIMAP1,MAL
ACTG2,TRIM49D2,GNA12,MYH11,,REM2,,,LINC01356,SRCAP
LSAMP,GPR141,NQO1,MFSD6,,CSF1,,,LINC01163,FTL
ANKRD37,CA10,PAX6,DUSP1,,LOC285696,,,F11-AS1,NRG1
CCDC136,SIK1,SOX9,WSCD2,,LOC157273,,,TREML2,HINT1
RPP25,LINC02337,EPHX1,SNCA,,FGF13,,,PCA3,SMPD1
CTSK,RFPL4B,LAMA1,DLGAP1-AS4,,CIB3,,,KLF5,RASSF7
G0S2,RLN2,OXTR,DRD1,,SPI1,,,SSX2,STEAP3
ROBO2,C9orf135,NTSR2,TMEM155,,GPR27,,,TCF21,PRR13
KITLG,DGCR5,TP53BP2,AP1S1,,PLK2,,,LINC01630,IQSEC3
PRKCZ,TRIM51,KCNIP4-IT1,CAP2,,EGR1,,,KRBOX1-AS1,CLCN7
SERPING1,SNORD3B-2,EHMT1,TPI1,,ERFE,,,LINC00906,STXBP1
TCF21,IL24,SLC14A1,ST6GALNAC5,,FZD9,,,SLFN14,3-Sep
IGF1,IQCJ-SCHIP1,ZNF680,SYT13,,FAM41C,,,LOC101927229,VAX2
HAGLR,CGB5,MAML2,FXYD6,,FUT6,,,C8orf74,LOC100996720
COL1A2,TCF19,GOLIM4,STARD4-AS1,,IGSF9,,,LOC101927378,TPGS1
MEIS3,SNORD116-9,IGDCC3,CLSTN2,,DUSP13,,,YWHAEP7,SLC39A13
LINC00968,SNORD116-3,PRKX,OPCML,,CFAP58,,,FAM177B,TICAM1
ACSS1,ZNF728,MGST1,ADCYAP1,,DNAJB5,,,ERICH3-AS1,MEN1
FBN1,PSORS1C2,ACACB,ENO2,,CNGB1,,,DRD5,FAM109A
NAALADL1,SETSIP,BCL3,CAMKK1,,KIAA1462,,,TARP,GNG11
KRT8,LY75-CD302,TGFB3,CPZ,,FAM71F2,,,HTR4,NUBP2
LOC102724684,MAFA,SAMD9L,NLK,,NDOR1,,,SPINK1,ABHD17C
LOC107984360,CECR3,KLF15,RGS6,,MIR1250,,,HCCAT5,A1BG
MBP,LHX1,DMD,MAGEE1,,FOXI1,,,ETNPPL,CRAT
FCGR2A,LINC01977,LRP10,RASGRF1,,MRVI1-AS1,,,TRPV4,PSMB5
PLA2G1B,TRHR,HGFAC,GYPA,,ADAM8,,,SMYD1,RANGRF
PLPP2,ADGRG3,LINC01287,KCNH1,,PSORS1C3,,,ZNF831,NME3
ARAP3,C6orf229,CPT2,RTN4R,,DCAF12,,,LOC100420587,SLC52A2
PTK2B,TAS2R50,LINC01588,CAMK1G,,JUN,,,IQCA1L,RNA5S9
COL4A5,LINC00278,ADGRV1,EDN3,,AHR,,,BPIFA3,BAHD1
GJC2,IQSEC3,SIX3,PRPS2,,CCDC71L,,,BTC,ZMIZ2
LINC00517,DDN,LINC01546,PCDHGC5,,LOC100131635,,,ADGRG4,RPS19BP1
C9orf47,SLC6A19,PLCB3,NDRG3,,TMTC1,,,SPATA3-AS1,TXN2
FLNB,LOC101927539,TP53,PNMAL1,,TNFSF14,,,ARHGEF5,GNG5
CCDC170,RHCG,MERTK,GABARAPL1,,EMX1,,,HLA-DOB,NDUFA8
MID1,LOC284241,LINC01873,TBC1D9,,LINC00671,,,GNGT2,POLR2J2
ZNF423,GOLGA6C,MGC16275,CORT,,DNAH17,,,CTAGE1,ISG15
TMEM229B,CHL1,SMO,DLG3,,PRR7,,,TNFSF8,ADI1
NABP1,RFPL4A,NPAS3,DCLK3,,MIR3939,,,KLHL40,CD36
MFSD7,TERC,ADD3,HTR5A,,LINC00593,,,LOC100996263,DNAJC4
GATA6,CRHR1,PLIN2,DUSP2,,HIST1H4H,,,CD93,CC2D1A
SLC12A8,LOC100653049,ANGPTL4,ME3,,AGER,,,LINC00971,PTPN23
PON3,NKX2-5,ND5,STOML1,,KDELR3,,,TRIM15,NR1D1
CCDC69,KRT31,LIMD1,SULT4A1,,ITCH,,,MS4A15,DDN
ARHGAP25,ADAMTS7P1,GLI2,SLC39A10,,HLA-C,,,ERICH3,HCG22
SLC16A7,SP9,TGFB2,WBSCR17,,RBKS,,,MYH8,PRCD
TMEM200A,MIR196A1,DOCK1,CECR6,,IFI27,,,ABCC13,MROH1
MANSC1,ARGFX,CA12,ACTA2,,SCG3,,,FAM225B,B3GAT3
LINC01021,MEF2C-AS2,CEP250,KCNF1,,MIR4440,,,PRKAG3,IQSEC1
NXF3,LINC02185,BARD1,PGK1,,C9orf47,,,USP17L11,U2AF1L5
ANKRD33B,RASSF7,ND6,CAMKV,,LCN8,,,PECAM1,AK1
KIF5A,LOC101929536,LINC01354,CKMT1A,,HSPA1B,,,MS4A6A,FKBP10
OSMR,LINC01708,MID1,SLC6A17,,MIR1-2,,,DUOX2,SERPINH1
MELTF,OR10AC1,LOC100506142,FNDC9,,MAP3K15,,,PSG6,SLC29A2
HMCN1,KCNIP1,CNTLN,FAM98A,,MCCC2,,,CCR9,ADRM1
CLEC3B,FAM83E,KLRC4,SYN2,,LINC01353,,,CDH5,PRR22
ADD3,ANKRD20A11P,ABCA1,AKAP5,,HORMAD1,,,GFRAL,MYPOP
NAP1L2,PSMB9,OSTM1-AS1,SLC17A7,,LOC728175,,,IRF8,KAZN
S1PR2,MIR649,LOC105370973,ABCC12,,HHATL,,,ADAD2,PEBP4
IFITM3,CLDN34,TPD52L1,GABRA1,,ATF6B,,,LINC01304,BSN
ARHGEF19,OCM,SERPINB11,MDH2,,GRAMD1C,,,ASXL3,TMEM121
AKNA,LOC646938,PITPNC1,ATP6V1A,,MIR590,,,PGLYRP4,ATAD3A
PTGIR,C2orf72,PCDH15,CLCN4,,PCAT18,,,LOC105374250,RAB11FIP3
LOC100129138,MMP13,PIPOX,SLC45A1,,LINC01057,,,TBX3,SERPING1
NHLRC4,CD40LG,PLSCR4,TMEM132D,,LOC102724190,,,AOAH-IT1,R3HDM4
RGS7BP,HLA-C,NEK11,SSTR1,,LOC101928668,,,GIMAP8,PDLIM2
ST3GAL6,CBLN2,NPC1L1,NDC1,,LINC00968,,,SYT8,BOP1
GPR1,DEFB122,KAT2B,SYNGR1,,DACH1,,,GYPA,LAMTOR4
SRPX,XKR7,MAP4K4,PGM2L1,,PDPN,,,OR51B5,DOHH
ADCY3,MIR4278,AMOT,NSF,,MIR6876,,,LOC100996345,SH3GL1
TMEM204,TTTY16,FGF2,GABRD,,CHURC1-FNTB,,,WDR87,SP9
OSR2,DAOA,OSBPL11,DUSP5,,LINC00309,,,LINC00567,IRF2BP1
GSTT2B,F8A3,PBXIP1,DES,,NTNG2,,,TIMD4,ASS1
VEPH1,LINC01251,RNF219-AS1,GLCE,,BPGM,,,LILRB4,ATP5G1
IFI27,EDARADD,F11-AS1,HMOX2,,TMEM92-AS1,,,C10orf71,MAGEE1
ADGRA2,COL11A2,PDK4,MAN1A1,,CAPN13,,,CHIAP2,TAGLN2
CALML6,CYP1B1,MDFIC,FRMPD4,,SPAG6,,,SIRPG-AS1,LMCD1
TES,IL1A,ADARB2,CNN1,,FNDC9,,,PPIAL4G,TPPP
AFF3,HAPLN1,PGAM2,WASF1,,ZNF429,,,HOXB13,TMEM132A
LINC01426,DAW1,HELZ2,TMEM35A,,DHRS13,,,TMEM102,C2CD2
HAPLN1,DSTYK,BCAS1,SYNJ1,,LOC101928446,,,IL22RA1,PGLS
BMP6,ANGPTL4,KIAA1161,SPTSSB,,IGF2BP2,,,GUCY2D,SLC25A22
PTCH2,NTN4,CABLES1,KLF10,,MAP7,,,FLG2,CELF3
RGMA,XYLT1,DBIL5P2,FABP3,,PATL2,,,LOC102723854,SOX9
CARD16,ANKRD1,ADAM32,SOWAHB,,KBTBD7,,,MACC1,C4orf19
HAND2,FOXQ1,ITGB4,RNF175,,F12,,,TBX5,RPS18
SLC1A2,CHURC1,EDN1,DOC2A,,MIR6749,,,SLAMF7,RELA
RAB36,TMEFF2,FCGR3B,GABBR1,,ADCYAP1R1,,,SRL,HINT2
CNTN3,CXCL8,RFX2,MPEG1,,INSC,,,TRIM42,FAU
KDELR3,TNFRSF11B,ZNF660,STMN2,,OLIG2,,,ANKRD34C,SCO2
LINC01296,ACTC1,CHST3,LOC100130331,,GNG12,,,CD40,MN1
COL6A3,GSTM1,PCDHB1,RASSF5,,NSUN7,,,APOC2,METTL26
ZG16B,LOC100271832,ALAS2,MUM1L1,,TRIM26,,,BCAR4,TMUB1
IL18R1,ZNF41,GADD45G,RPRML,,ANKUB1,,,QRFPR,SAMD4B
MS4A6A,DUBR,FAM92B,LMTK2,,FLT1,,,KRT40,CDK2AP1
C1orf54,SOX30,S1PR1,PDE1A,,KCNK7,,,SIT1,DRAP1
LOC101927751,CCR4,PLIN5,NNAT,,RPH3A,,,ALDH1A3,HSPA1B
ENPP2,CLEC4D,MTSS1L,NAP1L5,,SNORA28,,,TCAM1P,HAGHL
LINC01048,GATB,CYP1B1-AS1,MCHR2,,MUC5B,,,ADGRF2,H2AFX
HOXD4,RAP1GDS1,EFCAB3,BZW2,,PTPRU,,,ABCA6,BFSP1
IFNE,API5,NINL,LINC02361,,C2,,,FSCB,ASPHD1
HAND2-AS1,RAP2A,DXO,VPS4A,,LOC105370616,,,SLC6A3,SEMA6C
KLHDC7B,ZCCHC11,LGALS3,DRP2,,MBNL3,,,HAL,LRRC10B
DPYSL3,SNORA65,ADPGK-AS1,NTSR1,,LOC101927780,,,SLC9A2,COX5A
ODF3B,GFM2,ESR1,FHL2,,LOC283575,,,ONECUT1,LINC01158
OR51E2,METTL7B,IL6,CLEC2L,,GYPA,,,SERPINB2,DGCR6L
DRAM1,FAM198B,LINC00939,VSNL1,,LINC00683,,,IGF1,DGAT1
NRXN3,RAG1,BBOX1,PNMA6A,,PIM3,,,CIDEC,ABHD14A
ZFP42,UBA6,MEGF10,HTR5A-AS1,,LOC102724392,,,LOC107546764,SDHB
CALCRL,WIZ,NME6,SLC29A1,,C15orf38-AP3S2,,,RXFP1,YDJC
ICAM1,ZNF45,IKZF2,AMPH,,ABHD12B,,,PP12613,GPR137
COL5A1,PPA2,NPIPA7,NAPB,,RNF39,,,HSD3B1,VAMP5
LOC105377439,AMY1A,CDC14A,GPR158,,CCDC153,,,LINC01205,CAV1
NLGN3,HCG11,ZDHHC15,MYL9,,C2-AS1,,,CDH16,GCHFR
C4B_2,KIAA1211,FLJ16779,KNCN,,MIR616,,,DSG1,LRFN1
CYP11A1,PYY,YAP1,CXorf40A,,IGFL2,,,FLJ12825,MIDN
TRIB3,WDR12,ARHGEF26,AK5,,PTTG2,,,CETP,TMEM184B
CACNA1C-AS1,UBE2W,PTCH1,DUSP27,,LSMEM2,,,SLC36A3,TPP1
ROR1,PICALM,SLC2A4RG,KCNK1,,MIR5689HG,,,LAIR1,ATOH8
RGL1,G3BP1,BMPR1B,NBEA,,LINC01270,,,COL6A3,YIPF2
NID1,KMT2A,CSF1,LRRC38,,TNFRSF12A,,,RD3L,IER2
CBSL,NAIF1,PHKA1,ZNF778,,SERPINB2,,,TSKS,TMEM198
RHOJ,C12orf60,ZBED6,TUBA8,,ALAS2,,,TRPA1,COL6A1
SCARA3,GDAP2,NTRK2,LOC105373377,,IFIT1B,,,CCDC70,FBXW9
THSD4,COX17,LRAT,ISLR2,,CACNB4,,,NPVF,COX5B
CSGALNACT1,CEP128,FKBP5,SERPINF1,,MIR4441,,,TTLL10,EIF1
CPNE8,LOC105372255,TAF2,TMEM261,,MADCAM1,,,PRR23D1,PRRT1
